src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.20.0.30,172.20.0.20,50332,53,17,2026-05-03 06:44:27,0.000126,1833333.3333333333,23809.52380952381,23809.52380952381,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,6.3e-05,0.000126,0.0,6.3e-05,0.000126,0.000126,0.0,6.3e-05,6.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
172.20.0.30,172.20.0.20,55796,53,17,2026-05-03 06:44:27,8.6e-05,2686046.511627907,34883.72093023256,34883.72093023256,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,4.3e-05,8.6e-05,0.0,4.3e-05,8.6e-05,8.6e-05,0.0,4.3e-05,4.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
172.20.0.30,172.20.0.20,45946,53,17,2026-05-03 06:44:30,0.000135,1711111.111111111,22222.222222222223,22222.222222222223,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,6.75e-05,0.000135,0.0,6.75e-05,0.000135,0.000135,0.0,6.75e-05,6.75e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
172.20.0.30,172.20.0.20,52833,53,17,2026-05-03 06:44:30,0.000131,1763358.778625954,22900.763358778622,22900.763358778622,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,6.55e-05,0.000131,0.0,6.55e-05,0.000131,0.000131,0.0,6.55e-05,6.55e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
172.20.0.30,172.20.0.20,36689,53,17,2026-05-03 06:44:31,0.000112,2062500.0,26785.714285714286,26785.714285714286,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,5.6e-05,0.000112,0.0,5.6e-05,0.000112,0.000112,0.0,5.6e-05,5.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
172.20.0.30,172.20.0.20,57637,53,17,2026-05-03 06:44:31,3.2e-05,7218750.0,93750.0,93750.0,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,1.6e-05,3.2e-05,0.0,1.6e-05,3.2e-05,3.2e-05,0.0,1.6e-05,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
172.20.0.30,172.20.0.20,42562,53,17,2026-05-03 06:44:41,0.000286,807692.3076923076,10489.510489510489,10489.510489510489,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,0.000143,0.000286,0.0,0.000143,0.000286,0.000286,0.0,0.000143,0.000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
172.20.0.30,172.20.0.20,53818,53,17,2026-05-03 06:44:41,4.2e-05,5500000.0,71428.57142857143,71428.57142857143,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,2.1e-05,4.2e-05,0.0,2.1e-05,4.2e-05,4.2e-05,0.0,2.1e-05,2.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
172.20.0.30,172.20.0.20,37732,53,17,2026-05-03 06:44:46,0.000346,667630.0578034682,8670.520231213872,8670.520231213872,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,0.000173,0.000346,0.0,0.000173,0.000346,0.000346,0.0,0.000173,0.000173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
172.20.0.30,172.20.0.20,38328,53,17,2026-05-03 06:44:46,4.3e-05,5372093.023255814,69767.44186046511,69767.44186046511,0.0,3,0,231,0,77,77,77.0,0.0,0,0,0,0.0,77,77,77.0,0.0,0.0,60,0,20,3,2.15e-05,4.3e-05,0.0,2.15e-05,4.3e-05,4.3e-05,0.0,2.15e-05,2.15e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,0,0,3,0,231,0
