src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.50,8.8.8.8,32010,443,6,2026-04-19 00:49:12,125.80887,1188.0322905690196,1.9315013321397767,0.9776735137991462,0.9538278183406306,123,120,24113,125352,259,54,196.04065040650406,37.67196848232209,1839,54,1044.6,322.88990383720574,1839,54,615.082304526749,481.8604905163061,232189.5323206151,2460,2400,20,119,0.5198713636363635,5.975962,0.0,0.8830823476649351,125.80887,6.031223,0.0,1.0312202459016393,1.0821108237381318,119.795132,5.214276,0.067284,1.0066817815126048,0.9871415696827892,119,119,0,0,1,3,0,238,241,0,0,0.975609756097561,615.082304526749,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.04065040650406,1044.6,0,123,120,24113,125352
192.168.1.50,104.16.248.249,27153,443,6,2026-04-19 00:49:17,111.136177,24.72642189230605,0.23394722314408925,0.12597158169297112,0.10797564145111811,14,12,1417,1331,119,54,101.21428571428571,24.874480817061638,126,54,110.91666666666667,17.91860454636155,126,54,105.6923076923077,22.46667486055604,504.7514792899408,280,240,20,11,4.44544708,10.414609,0.0,4.953491205978732,111.083808,10.489335,0.0,8.544908307692307,3.640068544842769,111.11388,10.482171,9.634563,10.101261818181818,0.28255591872207536,11,11,0,0,0,3,0,22,24,0,0,0.8571428571428571,105.6923076923077,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.21428571428571,110.91666666666667,0,14,12,1417,1331
8.8.8.8,192.168.1.50,443,32010,6,2026-04-19 00:51:18,0.032862,4929.7060434544455,91.2908526565638,60.860568437709205,30.430284218854602,2,1,108,54,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,40,20,20,0,0.016431,0.032862,0.0,0.016431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0.5,54.0,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,2,1,108,54
192.168.1.50,104.16.248.249,27153,443,6,2026-04-19 00:51:18,0.056276,3838.2258867012583,71.0782571611344,53.308692870850805,17.7695642902836,3,1,162,54,54,54,54.0,0.0,54,54,54.0,0.0,54,54,54.0,0.0,0.0,60,20,20,0,0.018758666666666667,0.039056,0.0,0.015981622890752438,0.056276,0.056276,0.0,0.028138,0.028138,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0.3333333333333333,54.0,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,0,3,1,162,54
